no_pkk,no_pkk_inaportnet,vessel_name_spb,company_name,name_process_code,gt,loa,name_branch,departure_date,nomor_pkk,nomor_spb,vessel_name_wasop,waktu_tolak,NAMA KAPAL,GT,LOA,DARI,KE,PERUSAHAAN,NO SPK PANDU,NO PKK INAPORTNET,NO PKK,NAMA PANDU,MULAI PANDU,SELESAI PANDU,KAPAL TUNDA 1,KAPAL TUNDA 2,KAPAL TUNDA 3,MULAI TUNDA,SELESAI TUNDA,ZONA,STATUS NOTA
68RT57000008,PKK.DN.IDSTU.2509.000066,LIANA LI,PT. AZAZ SHIPS SERVICES,Request PPKB,3351.0,91.44,KOTABARU,2025-09-07 03:00,nan,,,,,,,,,,,nan,,,,,,,,,,,
SD3157000001,PKK.DN.IDSTU.2511.000549,SEA DRAGON 3068,"BARITO SAMUDRA SEJAHTERA, PT",Realization,3146.0,91.44,KOTABARU,2025-11-24 15:00,PKK.DN.IDSTU.2511.000549,SPB.IDSTU.1125.0000614,SEA DRAGON 3068,2025-11-23T10:00:00.000Z,SEA DRAGON 3068,3146,91.44,LAUT,DERMAGA BORNEO INDOBARA,"BARITO SAMUDRA SEJAHTERA, PT",IDSTU-PLD-SPK.2511.015648,PKK.DN.IDSTU.2511.000549,SD3157000001,TRI SUDIYATMO SAPUTRO,21-11-2025 22:45,21-11-2025 23:25,,,,,,ZONA SATUI & BUNATI,BELUM VERIFIKASI
GT3557000001,PKK.DN.IDSTU.2409.000498,GOLD TRANS 3305,"PELAYARAN LAKSITA ADITYA PARAMA, PT",Request PPKB,4270.0,100.65,KOTABARU,2024-09-23 15:00,nan,,,,,,,,,,,nan,,,,,,,,,,,
MU0025000281,PKK.DN.IDBDJ.2511.002705,MILA UTAMA,"TIMUR MILA UTAMA, PT",Realization,10833.0,134.36,BANJARMASIN,2025-11-22 18:00,PKK.DN.IDBDJ.2511.002705,SPB.IDBDJ.1125.0002775,MILA UTAMA,2025-11-22T21:30:00.000Z,MILA UTAMA,10833,134.36,LAUT,REDE TRISAKTI,"TIMUR MILA UTAMA, PT",IDBDJ-PLD-SPK.2511.059851,PKK.DN.IDBDJ.2511.002705,MU0025000281,FISAR BACHTIAR,22-11-2025 21:06,22-11-2025 22:38,,,,,,BANJARMASIN,BELUM VERIFIKASI
GK0031000019,PKK.DN.IDLBR.2511.000152,GAS KALIMANTAN,"RABER MITRA AGENCY, PT",Realization,3385.0,99.98,LEMBAR,2025-11-23 04:00,PKK.DN.IDLBR.2511.000152,SPB.IDLBR.1125.0000149,GAS KALIMANTAN,2025-11-23T00:00:00.000Z,GAS KALIMANTAN,3385,99.98,LAUT,TUKS PERTAMINA PATRA NIAGA,"RABER MITRA AGENCY, PT",IDLBR-PLD-SPK.2511.003198,PKK.DN.IDLBR.2511.000152,GK0031000019,AWAL MUDZAKIR,22-11-2025 23:21,23-11-2025 00:21,ANGGADA XV,TB. Samudera Makmur 02,,22-11-2025 23:21,23-11-2025 00:14,ZONA LEMBAR,BELUM VERIFIKASI
LD0Y13000184,PKK.DN.IDSUB.2511.000855,JAMBO XI,PT DUTA BAHARI MENARA LINE,Realization,9052.0,109.48,TANJUNG PERAK,2025-11-23 04:00,PKK.DN.IDSUB.2511.000855,SPB.IDSUB.1125.0000860,JAMBO XI,2025-11-23T04:00:00.000Z,JAMBO XI,9052,109.48,LAUT,JAMRUD SELATAN,PT DUTA BAHARI MENARA LINE,IDSUB-PLD-SPK.2511.029296,PKK.DN.IDSUB.2511.000855,LD0Y13000184,FEDA YOGATHA,23-11-2025 03:34,23-11-2025 06:14,TB. SEMAR 83,KT. JAYANEGARA 304,,23-11-2025 05:28,23-11-2025 06:13,ZONA SURABAYA,BELUM VERIFIKASI
HXUH25000381,PKK.DN.IDBDJ.2511.002701,DHARMA KARTIKA II,"DHARMA LAUTAN UTAMA, PT",Realization,20876.0,153.0,BANJARMASIN,2025-11-22 17:00,PKK.DN.IDBDJ.2511.002701,SPB.IDBDJ.1125.0002772,DHARMA KARTIKA II,2025-11-22T18:00:00.000Z,DHARMA KARTIKA II,20876,153,REDE TRISAKTI,KADE TRISAKTI,"DHARMA LAUTAN UTAMA, PT",IDBDJ-PLD-SPK.2511.059843,PKK.DN.IDBDJ.2511.002701,HXUH25000381,WHISNU DEWA,22-11-2025 20:00,22-11-2025 21:28,TB SEMAR DUA PULUH SEMBILAN,,,22-11-2025 21:00,22-11-2025 21:27,BANJARMASIN,BELUM VERIFIKASI
GL3309000039,PKK.DN.IDSRG.2511.000232,GAS LAURA,"PERTAMINA TRANS KONTINENTAL, PT",Realization,4277.0,99.9,TANJUNG EMAS,2025-11-23 12:00,PKK.DN.IDSRG.2511.000232,SPB.IDSRG.1125.0000244,GAS LAURA,2025-11-22T16:00:00.000Z,GAS LAURA,4277,99.9,LAUT,DERMAGA OPSICO,"PERTAMINA TRANS KONTINENTAL, PT",IDSRG-PLD-SPK.2511.007015,PKK.DN.IDSRG.2511.000232,GL3309000039,IGNATIUS BUDI PRASOJO,22-11-2025 15:35,22-11-2025 16:25,KT. BIMA 306,KT. GALUH 2,,22-11-2025 15:41,22-11-2025 16:17,ZONA SEMARANG,BELUM VERIFIKASI
CL9129000245,PKK.DN.IDKOE.2511.000163,CANTIKA LESTARI 9E,"PELAYARAN DHARMA INDAH, PT",Realization,888.0,64.68,TENAU KUPANG,2025-11-22 14:30,PKK.DN.IDKOE.2511.000163,SPB.IDKOE.1125.0000165,CANTIKA LESTARI 9E,2025-11-22T14:30:00.000Z,CANTIKA LESTARI 9E,888,64.68,LAUT,DERMAGA PENUMPANG PELABUHAN TENAU KUPANG,"PELAYARAN DHARMA INDAH, PT",IDKOE-PLD-SPK.2511.003510,PKK.DN.IDKOE.2511.000163,CL9129000245,REAGEN SALENDU,22-11-2025 09:18,22-11-2025 09:36,,,,,,ZONA KUPANG,BELUM VERIFIKASI
888P27000050,PKK.DN.IDBOA.2511.001949,PLAJU,"PERTAMINA TRANS KONTINENTAL, PT",Realization,5619.0,108.0,BENOA,2025-11-23 21:00,PKK.DN.IDBOA.2511.001949,SPB.IDBOA.1125.0002051,PLAJU,2025-11-23T03:00:00.000Z,PLAJU,5619,108,LAUT,TERMINAL PT. PERTAMINA,"PERTAMINA TRANS KONTINENTAL, PT",IDBOA-PLD-SPK.2511.002686,PKK.DN.IDBOA.2511.001949,888P27000050,SUPARMAN,22-11-2025 14:32,22-11-2025 15:19,BIMA 315,KT. JAYANEGARA 303,,22-11-2025 14:45,22-11-2025 15:20,ZONA BENOA,BELUM VERIFIKASI
UO2C57000003,PKK.DN.IDKBU.2510.000314,RMN 328,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,3142.0,87.78,KOTABARU,2025-10-14 01:00,nan,,,,,,,,,,,nan,,,,,,,,,,,
Q1EL57000003,PKK.DN.IDSTU.2506.000359,LIANA LXXIV,PT. AZAZ SHIPS SERVICES,Request PPKB,4362.0,100.58,KOTABARU,2025-06-23 15:00,nan,,,,,,,,,,,nan,,,,,,,,,,,
